house_uuid;type
fd41edba-5f53-42aa-a901-4c14372c09af;1
64f7e008-3c31-4ad5-82d0-6f56a9973d2b;1
25bb3fcf-82ef-4234-950b-e00a739f9bb0;1
c85d2053-9844-4762-97cc-fbfce70624e7;1
1e4d12c7-9032-4978-b391-fbbe0f7cf35b;1
05ec8c27-ab30-404b-bcb2-9f0d1b9fd3d2;1
b1a36ca1-65da-4da0-b512-363330d0650c;1
cf887852-a381-430a-b2f4-71eac6f70870;1
5f78eaf5-d4f4-47fa-989a-8cd185584ab5;1
cf8fcd6a-1588-4a69-8fab-87dcfa92f8db;1
01101241-412c-4815-8c01-71ca519aa2d9;1
7e412a33-12e5-46d1-9883-87af63b19026;1
20c4513e-6458-4646-81d4-824ab410493f;1
00046f15-10dd-4313-8626-5b8ed58983d1;1
5dd8939f-4422-4446-b8b5-5d384f7a85f6;1
47a1b924-23e3-4c11-a0c1-31b76edfca6a;1
4a6c6fec-9bcc-4f30-b03c-290c0c945e7a;1
b8c71903-ee90-4898-be46-1e0f898f5ba3;1
9d291074-5dae-47d0-9e6c-ee65db1c6672;1
217c1583-9da1-4323-8e6d-c0a54a8c4938;1
88124c99-5255-4230-a084-e1cafa10a35e;1
70d1805e-173a-41ec-8e9f-0f2af211c4a0;1
5c426969-f379-4b22-baed-a6805f1c59f8;1
c40f7bf6-7f82-4e88-acab-8c3008b79603;1
32b15c89-1aa5-4ca7-b05e-c81a9b764d32;1
e263ee53-62f0-4657-8e6c-396ee6e29dff;1
325d6220-a51f-4a3c-927d-8e22cc9b9997;1
3ff033f2-2e69-41f5-a1d0-a4d584ad84e0;1
9326a526-3721-4141-9031-16912a1667ad;1
ec3c6fc5-9779-4cbf-ac6d-3ad8bdb96e21;1
4597537a-6e4e-4fcf-8b54-11b6d6cf11b9;1
10dc720f-1961-4afa-a3a3-6a7facaff6cb;1
05befcca-66b4-4cb5-89c5-4388210fc1d5;1
ee244d63-e37b-478a-bd0c-a0a0b4d511e8;1
abac2e37-d801-44f7-9175-c2191f55b956;1
dcd185f2-666b-42eb-97d1-97a5f3d6b81c;1
54bdddc2-7db6-4427-9de2-1ebd253e09ea;1
7cdf7d9f-99a1-4f10-a322-eee69462612c;1
14333a00-22e7-4896-a0d7-851c721fb962;1
f717910d-b3d1-4f92-bd4e-126473abc693;1
1745881b-46a0-42ac-a879-d4cbfcf77e17;1
a7490ba8-0a24-47a7-ab98-da5af1d31750;1
955a60db-4b0e-4f04-9c86-37a5e8c669a7;1
462c6dda-9b0a-44fe-b6b6-35a0009c9a39;1
8b62ab41-dc72-4bfe-aa2f-6f564d7e0b07;1
8f816f49-6814-43de-aebe-533bca03d159;1
b2bfed19-af9c-4bd8-9ce4-64c0c2e199c6;1
41f83b79-9e2f-47ef-b14c-f2ffd9df216a;1
2c0cddd1-6580-4c40-b835-83b10522297d;1
7825b81d-6302-4536-9763-7bb0aa29080b;1
f57e6f5b-86de-4a99-a607-fc6568372ddf;1
