house_uuid;latitude;longitude;end_devices_count
b885de0f-09df-441f-85a6-bb28b468cea2;54.280637;48.310075;60
ac845abb-39e4-4b59-b1ca-d01a6b883b6a;54.327441;48.388516;35
fcbdc6c9-8c50-4a9d-9f2a-3da4f0d8432b;54.33338;48.49167;38
837ff3e3-6b90-459b-926d-230dcf8a7169;53.650325;47.11431;22
00588c27-989b-4d05-bf28-872c37831c9f;54.27353;48.28613;101
dac7b38c-00f6-483e-8a91-792a1711987e;53.858166;46.217351;18
a02821d9-8a58-49c9-b4be-e01fdd62cb7e;53.149783;47.735387;28
300aee02-7cff-4903-9b69-80dac5627e98;54.303833;48.317684;14
32554510-3c62-416e-a68a-70cb7fc614f5;54.144767;48.391139;16
6bb92a2a-c2de-4976-a654-8397f9192617;53.85;46.3395;16
80c23550-a0ea-443c-9446-5116fdef6a4d;54.222495;49.542088;33
4daca80b-5962-4493-b41c-7e0438a505fc;53.721546;47.246353;22
17068474-0f7d-4ec0-bff4-915b5f687b93;54.22729;49.613378;70
23748e3e-863c-4438-bc5d-212555f90d74;54.60727;48.39481;75
d909aba3-da68-4655-81d0-b0588723fc15;53.847092;46.332695;36
a99daf46-d197-4dd3-8f28-5620d4c27880;54.305961;48.318124;50
8e6c187d-6c2a-4b74-bcce-4beba2a8d5c9;53.015619;47.925749;16
923d5258-92e3-4e06-a532-66e1c4e871cc;54.382346;48.566212;133
43f061dc-198a-42ec-90a2-904b6180ac4d;54.25935;48.32058;70
0cde811d-81a8-4b86-97fb-58d2ce66f7a5;54.422376;48.138803;18
984622dc-e888-4782-b110-50c6d1d7167d;54.22372;48.29141;18
fc5caf8f-7aa0-41ef-b9d4-3899bab08404;54.029894;48.333405;22
3b593f82-37cd-4a69-967b-3df9b0f06d66;54.255713;48.327709;144
7838dd2a-7a9c-464c-9841-1edefedf7748;54.286345;48.257326;16
492b6e3a-1eec-432c-8d4d-d098098616e8;54.358334;48.843917;18
af5783b5-bc52-472b-8c66-7967177bad57;54.24319;48.25726;18
add2bc58-8e12-4cb7-b029-af660d7a2303;54.30526;48.31799;24
2169aa71-739a-446f-84a9-499deda48388;54.23957;49.57367;289
e9db981b-0d69-4bda-b2c7-cbfedd74d775;54.052481;47.123742;15
4de34101-029c-45b2-a3ca-336db91b62d1;54.28843;48.36947;54
952a41b8-b079-40bb-8848-da5f9fe84dca;54.30117;48.33136;80
6be76cdf-3b80-4585-b731-6b9c5398f237;53.649263;47.111552;16
d7dfa0fa-5263-4cb0-98e5-90617f4bdddf;54.05564234;47.12228414;16
550a114c-7d71-45be-9ace-21fdee3b071a;54.322174;48.392568;13
a25d9bc3-b8e5-4218-af56-b84018609112;53.626974;47.136507;22
14878853-16a1-49fd-8f79-72c2720ed801;53.85361;46.36503;22
